"file","Block","Sentence","Speaker","Word","scoreMax_synchrony","scoreMean_synchrony","scoreMax_syncRel","scoreMean_syncRel","scoreMax_Mass","scoreMean_Mass","scoreMax_scaling","scoreMean_scaling","scoreMax_scaleRel","scoreMean_scaleRel","scoreMax_massXsync","scoreMean_massXsync","scoreMax_massXscale","scoreMean_massXscale","scoreMax_massXf0","scoreMean_massXf0"
"1-01-12_Banane_bridging",1,1,12,"er",2,2,2.41,2.41,0.65,0.65,-48.75614094415,-48.75614094415,12.618,12.618,1.8005,1.8005,3.09855,3.09855,4.89905,4.89905
"1-01-12_Banane_bridging",1,1,12,"steckt",5,3,4.63,2.6825,1.22,1.07,19.066279385584,15.5872945846655,4.934,4.034,3.21356,2.70173,4.35418,3.57917,6.54408,6.2809
"1-01-12_Banane_bridging",1,1,12,"sich",1,1,0.662,0.662,0.48,0.48,-9.44620653351302,-9.44620653351302,2.445,2.445,0.83184,0.83184,1.3368,1.3368,2.16864,2.16864
"1-01-12_Banane_bridging",1,1,12,"die",-2,-2,1.724,1.724,0.55,0.55,7.907175099081,7.907175099081,2.046,2.046,1.3453,1.3453,1.43385,1.43385,2.77915,2.77915
"1-01-12_Banane_bridging",1,1,12,"banane",3,-5.75,8.411,4.95825,2.13,1.2175,18.809387989685,-14.6931234756485,11.523,6.23625,9.01842,4.235875,9.89811,4.8621775,18.91653,9.0980525
"1-01-12_Banane_bridging",1,1,12,"ein",4,4,2.963,2.963,0.3,0.3,-8.3053946950248,-8.3053946950248,2.149,2.149,0.8961,0.8961,0.7965,0.7965,1.6926,1.6926
"1-02-06_BG-139",1,2,6,"die",0,0,0,0,1.16,1.16,53.115762218105,53.115762218105,13.746,13.746,1.16,1.16,5.66312,5.66312,6.82312,6.82312
"1-02-06_BG-139",1,2,6,"beste",4,1.5,2.532,1.7375,2.84,1.765,26.215266691625,10.516348017877,6.784,4.0625,8.0088,4.67991,11.24924,6.392935,19.25804,11.072845
"1-02-06_BG-139",1,2,6,"klinik",-7,-7,2.672,2.672,4.26,4.26,-11.635374865905,-11.635374865905,3.011,3.011,12.25602,12.25602,12.79704,12.79704,25.05306,25.05306
"1-02-06_BG-139",1,2,6,"der",-1,-1,0.694,0.694,1.49,1.49,-37.956442196698,-37.956442196698,9.823,9.823,2.6224,2.6224,6.60964,6.60964,9.23204,9.23204
